"res.RDT";"res.MS";"res.MSpot"
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;3;3
0;3,00865437819749;3,00946415022543
0;3,00865437819749;3,00946415022543
0;3,01245949071884;3,01377104401114
0;3,01938149953116;3,02147278585454
0;3,03970841100853;3,04409337530508
0;3,08353619093861;3,09301956092266
0;3,16957037316538;3,18958308576066
0;3,19406317529027;3,21726425277064
0;3,21279774080636;3,23855770364945
0;3,2839128837241;3,31914753172933
0;3,31522028527768;3,35472451266304
0;3,38046957888542;3,43021888800229
0;3,47119536473025;3,53664383574219
0;3,54421836853109;3,62442422749651
0;3,59573725511665;3,68808414350844
0;3,6540794815353;3,76178845706605
0;3,68307464716462;3,79905035772656
0;3,68307464716462;3,79905035772656
0;3,68307464716462;3,79905035772656
0;3,68808042207412;3,80562980036608
0;3,7117773904461;3,83679883830917
0;3,73171814198589;3,8631343677049
0;3,78040102044104;3,92791520655536
0;3,85140759679259;4,0234272570804
0;3,89339151038503;4,0810474781615
0;4,04567844961887;4,29449016326058
0;4,14683977273111;4,44066771324144
0;4,34069904444045;4,73448164808863
0;4,54103806079488;5,05412804395809
0;4,74468177987045;5,40419874163156
0;4,92940638390125;5,74735647224833
0;5,03428324243489;5,95789656343233
0;5,22441366026331;6,36354812067783
0;5,29789741343981;6,52969493942671
0;5,49708016920746;7,00701351011556
0;5,65779177570928;7,41350957405243
0;5,71956236334157;7,58248023711801
0;5,86041405900049;7,98799575312957
0;6,03198737924688;8,50336280493924
0;6,11113401884586;8,75808091980982
0;6,14962421740282;8,88951766764347
0;6,18318381982135;9,00738210942146
0;6,25019494726738;9,24662326319249
0;6,29068341636594;9,39412148488975
0;6,34201948199956;9,58599086843252
0;6,4004243134467;9,80897505755706
0;6,56557538339291;10,4557408137354
0;6,74350490847077;11,1625797006839
0;7,27758318358425;13,1684477145796
